Date,Open,High,Low,Close,Adj Close,Volume
2022-06-30,0.054683,0.054801,0.053033,0.053946,0.053946,826433
2022-07-01,0.053997,0.053876,0.054533,0.054998,0.054998,908149
2022-07-02,0.055016,0.055431,0.054342,0.055426,0.055426,516343
2022-07-03,0.055423,0.055721,0.055029,0.055644,0.055644,443448
2022-07-04,0.055645,0.056936,0.054925,0.056895,0.056895,675731
2022-07-05,0.056868,0.057233,0.056114,0.056193,0.056193,802151
2022-07-06,0.056207,0.057966,0.056211,0.057765,0.057765,748168
2022-07-07,0.057765,0.057479,0.057431,0.057196,0.057196,657689
2022-07-08,0.057196,0.057548,0.056481,0.056256,0.056256,750810
2022-07-09,0.056247,0.056249,0.056248,0.056362,0.056362,408543
2022-07-10,0.056359,0.056359,0.055769,0.05601,0.05601,526573
2022-07-11,0.055998,0.056177,0.054939,0.054943,0.054943,604098
2022-07-12,0.054944,0.054944,0.053729,0.053726,0.053726,651177
2022-07-13,0.053725,0.055095,0.053643,0.055095,0.055095,905527
2022-07-14,0.055092,0.05793,0.054689,0.057926,0.057926,811313
2022-07-15,0.057933,0.06037,0.057943,0.059182,0.059182,835629
2022-07-16,0.059165,0.065397,0.058237,0.063832,0.063832,866623
2022-07-17,0.06386,0.064694,0.063448,0.064421,0.064421,773832
2022-07-18,0.06443,0.07021,0.06443,0.07021,0.07021,1220350
2022-07-19,0.070195,0.070658,0.068935,0.065969,0.065969,1186584
2022-07-20,0.065968,0.067333,0.064868,0.065436,0.065436,987559
2022-07-21,0.065444,0.068743,0.064739,0.068067,0.068067,863798
2022-07-22,0.068067,0.070005,0.067408,0.067682,0.067682,833199
2022-07-23,0.067641,0.069318,0.067697,0.068963,0.068963,667638
2022-07-24,0.06896,0.072025,0.068936,0.070745,0.070745,761543
2022-07-25,0.07073,0.070879,0.067662,0.067662,0.067662,963643
2022-07-26,0.067652,0.067652,0.065187,0.067882,0.067882,858699
2022-07-27,0.067973,0.071443,0.067547,0.071356,0.071356,1003357
2022-07-28,0.071356,0.073746,0.070631,0.072365,0.072365,1142071
2022-07-29,0.072372,0.07303,0.070718,0.072566,0.072566,976681
2022-07-30,0.072552,0.07073,0.071165,0.071692,0.071692,658473
2022-07-31,0.071689,0.072548,0.071821,0.072054,0.072054,608510
2022-08-01,0.072051,0.072486,0.070272,0.070137,0.070137,694485
2022-08-02,0.070114,0.071469,0.06903,0.071065,0.071065,888936
2022-08-03,0.07107,0.071202,0.070123,0.070859,0.070859,734739
2022-08-04,0.070859,0.071672,0.070193,0.071062,0.071062,639277
2022-08-05,0.071032,0.07438,0.071046,0.07438,0.07438,796352
2022-08-06,0.074397,0.074796,0.073674,0.073674,0.073674,512076
2022-08-07,0.07368,0.073915,0.073027,0.073324,0.073324,442360
2022-08-08,0.073339,0.074653,0.073184,0.074572,0.074572,707341
2022-08-09,0.074595,0.074758,0.072752,0.073519,0.073519,706631
2022-08-10,0.073514,0.077537,0.072936,0.077325,0.077325,981828
2022-08-11,0.077328,0.078167,0.077328,0.078523,0.078523,994551
2022-08-12,0.07851,0.08031,0.078548,0.080206,0.080206,703531
2022-08-13,0.080209,0.08107,0.080022,0.081122,0.081122,656687
2022-08-14,0.081141,0.081075,0.079152,0.07964,0.07964,578254
2022-08-15,0.079639,0.079855,0.078365,0.078893,0.078893,843102
2022-08-16,0.078835,0.078874,0.078286,0.078638,0.078638,654750
2022-08-17,0.07863,0.079973,0.078059,0.078548,0.078548,870265
2022-08-18,0.078579,0.080138,0.078322,0.079569,0.079569,646169
2022-08-19,0.079572,0.079572,0.077126,0.077259,0.077259,1240871
2022-08-20,0.077243,0.077422,0.073508,0.074506,0.074506,866225
2022-08-21,0.074485,0.075753,0.074311,0.075198,0.075198,736005
2022-08-22,0.075191,0.075835,0.073308,0.075822,0.075822,867197
2022-08-23,0.075842,0.077246,0.074895,0.077237,0.077237,851076
2022-08-24,0.077234,0.07772,0.075905,0.077451,0.077451,784338
2022-08-25,0.077464,0.079017,0.077505,0.078536,0.078536,686027
2022-08-26,0.07853,0.078006,0.074121,0.074422,0.074422,1318543
2022-08-27,0.07444,0.074638,0.073114,0.074414,0.074414,904155
